Country; Number; Position; FIFA Display Name; Last Name; First Name; Shirt Name; Date of Birth; Club; Club Country; Height
France;6; Defender; Marc PLANUS; PLANUS; Marc; PLANUS;07-mar.-82; Bordeaux; FRA;183
France;7; Forward; Franck RIBERY; RIBÉRY; Franck; RIBERY;07-abr.-83; Bayern Munich; GER;175
France;8; Midfielder; Yoann GOURCUFF; GOURCUFF; Yoann Miguel; GOURCUFF;11-jul.-86; Bordeaux; FRA;185
France;9; Forward; Djibril CISSE; CISSE; Djibril; CISSE;12-ago.-81; Panathinaikos; GRE;182
France;10; Forward; Sidney GOVOU; GOVOU; Sidney Rodrigue Noukpo; GOVOU;27-jul.-79; Lyon; FRA;175
France;11; Forward; Andre Pierre GIGNAC; GIGNAC; André Pierre; GIGNAC;05-dic.-85; Toulouse; FRA;187
France;12; Forward; Thierry HENRY; HENRY; Thierry Daniel; HENRY;17-ago.-77; Barcelona; ESP;188
France;13; Defender; Patrice EVRA; EVRA; Patrice Latyr; EVRA;15-may.-81; Manchester Utd.; ENG;171
France;14; Midfielder; Jeremy TOULALAN; TOULALAN; Jeremy; TOULALAN;10-sep.-83; Lyon; FRA;183
France;15; Midfielder; Florent MALOUDA; MALOUDA; Florent; MALOUDA;13-jun.-80; Chelsea; ENG;184
France;16; Goalkeeper; Steve MANDANDA; MANDANDA; Steve; MANDANDA;28-mar.-85; Marseille; FRA;185
France;17; Defender; Sebastien SQUILLACI; SQUILLACI; Sébastien; SQUILLACI;11-ago.-80; Sevilla FC; ESP;184
France;18; Midfielder; Alou DIARRA; DIARRA; Alou; A. DIARRA;15-jul.-81; Bordeaux; FRA;190
France;19; Midfielder; Abou DIABY; DIABY; Abou; DIABY;11-may.-86; Arsenal; ENG;188
France;20; Forward; Mathieu VALBUENA; VALBUENA; Mathieu; VALBUENA;28-sep.-84; Marseille; FRA;167
France;21; Forward; Nicolas ANELKA; ANELKA; Nicolas Sebastien; ANELKA;14-mar.-79; Chelsea; ENG;185
France;22; Defender; Gael CLICHY; CLICHY; Gael; CLICHY;26-jul.-85; Arsenal; ENG;181
France;23; Goalkeeper; Cedric CARRASSO; CARRASSO; Cedric; CARRASSO;30-dic.-81; Bordeaux; FRA;187
Germany;1; Goalkeeper; Manuel NEUER; NEUER; Manuel; NEUER;27-mar.-86; Schalke 04; GER;190
Germany;2; Midfielder; Marcell JANSEN; JANSEN; Marcell; JANSEN;04-nov.-85; Hamburger SV; GER;190
Germany;3; Defender; Arne FRIEDRICH; FRIEDRICH; Arne; FRIEDRICH;29-may.-79; Hertha Berlin; GER;185
Germany;4; Defender; Dennis AOGO; AOGO; Dennis; AOGO;14-ene.-87; Hamburger SV; GER;184
Germany;5; Defender; Serdar TASCI; TASCI; Serdar; TASCI;24-abr.-87; VfB Stuttgart; GER;186
Germany;6; Midfielder; Sami KHEDIRA; KHEDIRA; Sami; KHEDIRA;04-abr.-87; VfB Stuttgart; GER;189
Germany;7; Midfielder; Bastian SCHWEINSTEIGER; SCHWEINSTEIGER; Bastian; SCHWEINSTEIGER;01-ago.-84; Bayern Munich; GER;180
Germany;8; Midfielder; Mesut OEZIL; ÖZIL; Mesut; ÖZIL;15-oct.-88; Werder Bremen; GER;182
Germany;9; Forward; Stefan KIESSLING; KIESSLING; Stefan; KIESSLING;25-ene.-84; Bayer Leverkusen; GER;191
Germany;10; Forward; Lukas PODOLSKI; PODOLSKI; Lukas Josef; PODOLSKI;04-jun.-85; FC Cologne; GER;180
Germany;11; Forward; Miroslav KLOSE; KLOSE; Miroslaw Josef; KLOSE;09-jun.-78; Bayern Munich; GER;182
Germany;12; Goalkeeper; Tim WIESE; WIESE; Tim; WIESE;17-dic.-81; Werder Bremen; GER;193
Germany;13; Midfielder; Thomas MUELLER; MÜLLER; Thomas; MÜLLER;13-sep.-89; Bayern Munich; GER;186
Germany;14; Defender; Holger BADSTUBER; BADSTUBER; Holger; BADSTUBER;13-mar.-89; Bayern Munich; GER;190
Germany;15; Midfielder; Piotr TROCHOWSKI; TROCHOWSKI; Piotr Artur; TROCHOWSKI;22-mar.-84; Hamburger SV; GER;168
Germany;16; Defender; Philipp LAHM; LAHM; Philipp; LAHM;11-nov.-83; Bayern Munich; GER;170
Germany;17; Defender; Per MERTESACKER; MERTESACKER; Per; MERTESACKER;29-sep.-84; Werder Bremen; GER;196
Germany;18; Midfielder; Toni KROOS; KROOS; Toni; KROOS;04-ene.-90; Bayer Leverkusen; GER;180
Germany;19; Forward; CACAU; BARRETO; Claudemir Jeronimo; CACAU;27-mar.-81; VfB Stuttgart; GER;180
Germany;20; Defender; Jerome BOATENG; BOATENG; Jerome; BOATENG;03-sep.-88; Hamburger SV; GER;192
Germany;21; Midfielder; Marko MARIN; MARIN; Marko; MARIN;13-mar.-89; Werder Bremen; GER;169
Germany;22; Goalkeeper; Hans Joerg BUTT; BUTT; Hans Jörg; BUTT;28-may.-74; Bayern Munich; GER;191
Germany;23; Forward; Mario GOMEZ; GOMEZ GARCIA; Mario; GOMEZ;10-jul.-85; Bayern Munich; GER;189
Ghana;1; Goalkeeper; Daniel AGYEI; AGYEI; Daniel; AGYEI;10-nov.-89; Liberty; GHA;186
Ghana;2; Defender; Hans SARPEI; SARPEI; Hans Adu; SARPEI;28-jun.-76; Bayer Leverkusen; GER;178
Ghana;3; Forward; Asamoah GYAN; GYAN; Asamoah; A. GYAN;22-nov.-85; Rennes; FRA;186
Ghana;4; Defender; John PANTSIL; PANTSIL; John; PANTSIL;15-jun.-81; Fulham; ENG;178
Ghana;5; Defender; John MENSAH; MENSAH; John; MENSAH;29-nov.-82; Sunderland; ENG;177
Ghana;6; Midfielder; Anthony ANNAN; ANNAN; Anthony; ANNAN;21-jul.-86; Rosenborg; NOR;171
Ghana;7; Defender; Samuel INKOOM; INKOOM; Samuel; INKOOM;01-jun.-89; Basel; SUI;179
Ghana;8; Defender; Jonathan MENSAH; MENSAH; Jonathan; JONATHAN;13-jul.-90; Free State Stars; RSA;182
Ghana;9; Midfielder; Derek BOATENG; BOATENG; Derek Owusu; D. BOATENG;02-may.-83; Getafe; ESP;185
Ghana;10; Midfielder; Stephen APPIAH; APPIAH; Stephen; S. APPIAH;24-dic.-80; Bologna; ITA;178
Ghana;11; Midfielder; Sulley MUNTARI; MUNTARI; Sulley Ali; MUNTARI;27-ago.-84; Inter; ITA;180
Ghana;12; Forward; Prince TAGOE; TAGOE; Prince; TAGOE;09-nov.-86; Hoffenheim; GER;179
Ghana;13; Midfielder; Andre AYEW; AYEW; Andre Morgan Rami; A. AYEW;17-dic.-89; Arles; FRA;175
Ghana;14; Forward; Matthew AMOAH; AMOAH; Matthew; AMOAH;24-oct.-80; NAC Breda; NED;175
Ghana;15; Defender; Isaac VORSAH; VORSAH; Isaac; VORSAH;21-jun.-88; Hoffenheim; GER;180
Ghana;16; Goalkeeper; Stephen AHORLU; AHORLU; Stephen; AHORLU;05-sep.-88; Heart of Lions; GHA;179
Ghana;17; Defender; Ibrahim AYEW; AYEW; Ibrahim; I. AYEW;16-abr.-88; Zamalek; EGY;176
Ghana;18; Forward; Dominic ADIYIAH; ADIYIAH; Dominic; ADIYIAH;29-nov.-89; AC Milan; ITA;170
Ghana;19; Defender; Lee ADDY; ADDY; Lee; ADDY;26-sep.-85; Bechem Chelsea; GHA;178
Ghana;20; Forward; Quincy OWUSU-ABEYIE; OWUSU-ABEYIE; Quincy Jamie; OWUSU ABEYIE;15-abr.-86; Al Sadd; QAT;180
Ghana;21; Midfielder; Kwadwo ASAMOAH; ASAMOAH; Kwadwo; K. ASAMOAH;09-dic.-88; Udinese; ITA;168
Ghana;22; Goalkeeper; Richard KINGSON; KINGSON; Richard; KINGSON;13-jun.-78; Wigan; ENG;182
Ghana;23; Forward; Kevin Prince BOATENG; BOATENG; Kevin Prince; PRINCE;06-mar.-87; Portsmouth; ENG;182
Greece;1; Goalkeeper; Konstantinos CHALKIAS; CHALKIAS; Konstantinos; CHALKIAS;30-may.-74; PAOK; GRE;198
Greece;2; Defender; Giourkas SEITARIDIS; SEITARIDIS; Georgios; GIOURKAS;04-jun.-81; Panathinaikos; GRE;185
Greece;3; Defender; Christos PATSATZOGLOU; PATSATZOGLOU; Christos; PATSA;19-mar.-79; Omonia; CYP;183
Greece;4; Defender; Nikos SPIROPOULOS; SPYROPOULOS; Nikolaos; SPYROPOULOS;10-oct.-83; Panathinaikos; GRE;171
Greece;5; Defender; Vangelis MORAS; MORAS; Evangelos; MORAS;26-ago.-81; Bologna; ITA;193
Greece;6; Midfielder; Alexandros TZIOLIS; TZIOLIS; Alexandros; TZIOLIS;13-feb.-85; Siena; ITA;190
Greece;7; Forward; Georgios SAMARAS; SAMARAS; Georgios; SAMARAS;21-feb.-85; Celtic; SCO;192
Greece;8; Defender; Avraam PAPADOPOULOS; PAPADOPOULOS; Avraam; PAPADOPOULOS;03-dic.-84; Olympiacos; GRE;186
Greece;9; Forward; Angelos CHARISTEAS; CHARISTEAS; Angelos; CHARISTEAS;09-feb.-80; Nuremberg; GER;191
Greece;10; Midfielder; Georgios KARAGOUNIS; KARAGKOUNIS; Georgios; KARAGOUNIS;06-mar.-77; Panathinaikos; GRE;176
Greece;11; Defender; Loukas VYNTRA; VYNTRA; Loukas; VYNTRA;05-feb.-81; Panathinaikos; GRE;184
Greece;12; Goalkeeper; Alexandros TZORVAS; TZORVAS; Alexandros; TZORVAS;12-ago.-82; Panathinaikos; GRE;190
Greece;13; Goalkeeper; Michail SIFAKIS; SIFAKIS; Michail; SIFAKIS;09-sep.-84; Aris Thessaloniki; GRE;186
Greece;14; Forward; Dimitrios SALPINGIDIS; SALPINGIDIS; Dimitrios; SALPINGIDIS;18-ago.-81; Panathinaikos; GRE;171
Greece;15; Defender; Vasileios TOROSIDIS; TOROSIDIS; Vasileios; TOROSIDIS;10-jun.-85; Olympiacos; GRE;185
Greece;16; Defender; Sotirios KYRGIAKOS; KYRGIAKOS; Sotirios; KYRGIAKOS;23-jul.-79; Liverpool; ENG;192
Greece;17; Forward; Theofanis GEKAS; GKEKAS; Theofanis; GEKAS;23-may.-80; Hertha Berlin; GER;179
Greece;18; Midfielder; Sotiris NINIS; NINIS; Sotiris; NINIS;03-abr.-90; Panathinaikos; GRE;173
Greece;19; Defender; Sokratis PAPASTATHOPOULOS; PAPASTATHOPOULOS; Sokratis; SOKRATIS;09-jun.-88; Genoa; ITA;186
Greece;20; Forward; Pantelis KAPETANOS; KAPETANOS; Pantelis; KAPETANOS;08-jun.-83; Steaua; ROU;190
Greece;21; Midfielder; Konstantinos KATSOURANIS; KATSOURANIS; Konstantinos; KATSOURANIS;21-jun.-79; Panathinaikos; GRE;183
Greece;22; Defender; Stelios MALEZAS; MALEZAS; Stylianos; MALEZAS;11-mar.-85; PAOK; GRE;192
Greece;23; Midfielder; Athanasios PRITTAS; PRITTAS; Athanasios; PRITTAS;09-ene.-79; Aris Thessaloniki; GRE;185
Honduras;1; Goalkeeper; Ricardo CANALES; CANALES LANZA; Ricardo Gabriel; CANALES;30-may.-82; Motagua; HON;180
Honduras;2; Defender; Osman CHAVEZ; CHAVEZ GUITY; Osman Danilo; CHAVEZ;29-jul.-84; Platense; HON;187
Honduras;3; Defender; Maynor FIGUEROA; FIGUEROA ROCHEZ; Maynor Alexis; FIGUEROA;02-may.-83; Wigan; ENG;182
Honduras;4; Defender; Jhony PALACIOS; PALACIOS CACHO; Jhony Eulogio; J. PALACIOS;20-dic.-86; Olimpia Tegucigalpa; HON;182
Honduras;5; Defender; Victor BERNARDEZ; BERNARDEZ BLANCO; Victor Salvador; BERNARDEZ;24-may.-82; Anderlecht; BEL;187
Honduras;6; Midfielder; Hendry THOMAS; THOMAS SUAZO; Hendry Bernardo; THOMAS;23-feb.-85; Wigan; ENG;180
Honduras;7; Midfielder; Ramon NUNEZ; NUNEZ; Ramon Fernando; NUÑEZ;14-nov.-85; Olimpia Tegucigalpa; HON;169
Honduras;8; Midfielder; Wilson PALACIOS; PALACIOS SUAZO; Wilson Roberto; W. PALACIOS;29-jul.-84; Tottenham Hotspur; ENG;176
Honduras;9; Forward; Carlos PAVON; PLUMMER PAVON; Carlos Alberto; PAVON;09-oct.-73; Real Espana; HON;180
Honduras;10; Midfielder; Julio Cesar DE LEON; DE LEON DAILEY; Julio Cesar; LEON;13-sep.-79; Torino; ITA;170
Honduras;11; Forward; David SUAZO; SUAZO VELASQUEZ; Oscar David; SUAZO;05-nov.-79; Genoa; ITA;183
Honduras;12; Forward; George WELCOME; WELCOME COLLINS; George Wilson; WELCOME;09-mar.-85; Motagua; HON;192
Honduras;13; Forward; Roger ESPINOZA; ESPINOZA RAMIREZ; Roger Anibal; ESPINOZA;25-oct.-86; Kansas City Wizards; USA;178
Honduras;14; Defender; Oscar GARCIA; GARCIA RAMIREZ; Oscar Boniek; GARCIA;04-sep.-84; Olimpia Tegucigalpa; HON;176
Honduras;15; Forward; Walter MARTINEZ; MARTINEZ RAMOS; Walter Julian; MARTINEZ;24-mar.-82; Marathon; HON;166
Honduras;16; Defender; Mauricio SABILLON; SABILLON PEÑA; Mauricio Alberto; SABILLON;11-nov.-78; Hangzhou Greentown; CHN;180
Honduras;17; Midfielder; Edgar ALVAREZ; ALVAREZ REYES; Edgar Anthony; ALVAREZ;18-ene.-80; Bari; ITA;170
Honduras;18; Goalkeeper; Noel VALLADARES; VALLADARES BONILLA; Noel Eduardo; VALLADARES;03-may.-77; Olimpia Tegucigalpa; HON;179
Honduras;19; Midfielder; Danilo TURCIOS; TURCIOS FUNEZ; Elvis Danilo; TURCIOS;08-may.-78; Olimpia Tegucigalpa; HON;166
Honduras;20; Midfielder; Amado GUEVARA; GUEVARA; Amado; GUEVARRA;02-may.-76; Motagua; HON;176
Honduras;21; Defender; Emilio IZAGUIRRE; IZAGUIRRE GIRON; Emilio Arturo; IZAGUIRRE;10-may.-86; Motagua; HON;178
Honduras;22; Goalkeeper; Donis ESCOBER; ESCOBER IZAGUIRRE; Donis Salatiel; ESCOBER;03-feb.-81; Olimpia Tegucigalpa; HON;180
Honduras;23; Defender; Sergio MENDOZA; MENDOZA ESCOBAR; Sergio Giovany; MENDOZA;23-may.-81; Motagua; HON;177
Italy;1; Goalkeeper; Gianluigi BUFFON; BUFFON; Gianluigi; BUFFON;28-ene.-78; Juventus; ITA;190
Italy;2; Defender; Christian MAGGIO; MAGGIO; Christian; MAGGIO;11-feb.-82; Napoli; ITA;184
Italy;3; Defender; Domenico CRISCITO; CRISCITO; Domenico; CRISCITO;30-dic.-86; Genoa; ITA;175
Italy;4; Defender; Giorgio CHIELLINI; CHIELLINI; Giorgio; CHIELLINI;14-ago.-84; Juventus; ITA;192
Italy;5; Defender; Fabio CANNAVARO; CANNAVARO; Fabio; CANNAVARO;13-sep.-73; Juventus; ITA;175
Italy;6; Midfielder; Daniele DE ROSSI; DE ROSSI; Daniele; DE ROSSI;24-jul.-83; AS Roma; ITA;182
Italy;7; Midfielder; Simone PEPE; PEPE; Simone; PEPE;30-ago.-83; Udinese; ITA;179
Italy;8; Midfielder; Gennaro GATTUSO; GATTUSO; Gennaro Ivan; GATTUSO;09-ene.-78; AC Milan; ITA;177
Italy;9; Forward; Vincenzo IAQUINTA; IAQUINTA; Vincenzo; IAQUINTA;21-nov.-79; Juventus; ITA;186
Italy;10; Forward; Antonio DI NATALE; DI NATALE; Antonio; DI NATALE;13-oct.-77; Udinese; ITA;170
Italy;11; Forward; Alberto GILARDINO; GILARDINO; Alberto; GILARDINO;05-jul.-82; Fiorentina; ITA;184
Italy;12; Goalkeeper; Federico MARCHETTI; MARCHETTI; Federico; MARCHETTI;07-feb.-83; Cagliari; ITA;188
Italy;13; Defender; Salvatore BOCCHETTI; BOCCHETTI; Salvatore; BOCCHETTI;30-nov.-86; Genoa; ITA;178
Italy;14; Goalkeeper; Morgan DE SANCTIS; DE SANCTIS; Morgan; DE SANCTIS;26-mar.-77; Napoli; ITA;190
Italy;15; Midfielder; Claudio MARCHISIO; MARCHISIO; Claudio; MARCHISIO;19-ene.-86; Juventus; ITA;179
Italy;16; Midfielder; Mauro CAMORANESI; CAMORANESI; Mauro German; CAMORANESI;04-oct.-76; Juventus; ITA;174
Italy;17; Midfielder; Angelo PALOMBO; PALOMBO; Angelo; PALOMBO;25-sep.-81; Sampdoria; ITA;177
Italy;18; Forward; Fabio QUAGLIARELLA; QUAGLIARELLA; Fabio; QUAGLIARELLA;31-ene.-83; Napoli; ITA;180
Italy;19; Defender; Gianluca ZAMBROTTA; ZAMBROTTA; Gianluca; ZAMBROTTA;19-feb.-77; AC Milan; ITA;181
Italy;20; Forward; Giampaolo PAZZINI; PAZZINI; Giampaolo; PAZZINI;02-ago.-84; Sampdoria; ITA;180
Italy;21; Midfielder; Andrea PIRLO; PIRLO; Andrea; PIRLO;19-may.-79; AC Milan; ITA;177
Italy;22; Midfielder; Riccardo MONTOLIVO; MONTOLIVO; Riccardo; MONTOLIVO;18-ene.-85; Fiorentina; ITA;181
Italy;23; Defender; Leonardo BONUCCI; BONUCCI; Leonardo; BONUCCI;01-may.-87; Bari; ITA;190
Japan;1; Goalkeeper; Seigo NARAZAKI; NARAZAKI; Seigo; NARAZAKI;15-abr.-76; Nagoya Grampus Eight; JPN;187
Japan;2; Midfielder; Yuki ABE; ABE; Yuki; ABE;06-sep.-81; Urawa Reds; JPN;177
Japan;3; Defender; Yuichi KOMANO; KOMANO; Yuichi; KOMANO;25-jul.-81; Jubilo Iwata; JPN;172
Japan;4; Defender; Marcus Tulio TANAKA; TANAKA; Marcus Tulio Lyuji Murzani; TULIO;24-abr.-81; Nagoya Grampus Eight; JPN;185
Japan;5; Defender; Yuto NAGATOMO; NAGATOMO; Yuto; NAGATOMO;12-sep.-86; FC Tokyo; JPN;170
Japan;6; Defender; Atsuto UCHIDA; UCHIDA; Atsuto; UCHIDA;27-mar.-88; Kashima Antlers; JPN;176
Japan;7; Midfielder; Yasuhito ENDO; ENDO; Yasuhito; ENDO;28-ene.-80; Gamba Osaka; JPN;178
Japan;8; Midfielder; Daisuke MATSUI; MATSUI; Daisuke; MATSUI;11-may.-81; Grenoble; FRA;175
Japan;9; Forward; Shinji OKAZAKI; OKAZAKI; Shinji; OKAZAKI;16-abr.-86; Shimizu S-Pulse; JPN;174
Japan;10; Midfielder; Shunsuke NAKAMURA; NAKAMURA; Shunsuke; NAKAMURA;24-jun.-78; Yokohama F Marinos; JPN;178
Japan;11; Forward; Keiji TAMADA; TAMADA; Keiji; TAMADA;11-abr.-80; Nagoya Grampus Eight; JPN;173
Japan;12; Forward; Kisho YANO; YANO; Kisho; YANO;05-abr.-84; Albirex Niigata; JPN;185
Japan;13; Defender; Daiki IWAMASA; IWAMASA; Daiki; IWAMASA;30-ene.-82; Kashima Antlers; JPN;187
Japan;14; Midfielder; Kengo NAKAMURA; NAKAMURA; Kengo; NAKAMURA;31-oct.-80; Kawasaki Frontale; JPN;175
Japan;15; Defender; Yasuyuki KONNO; KONNO; Yasuyuki; KONNO;25-ene.-83; FC Tokyo; JPN;178
Japan;16; Forward; Yoshito OKUBO; OKUBO; Yoshito; OKUBO;09-jun.-82; Vissel Kobe; JPN;170
Japan;17; Midfielder; Makoto HASEBE; HASEBE; Makoto; HASEBE;18-ene.-84; Wolfsburg; GER;177
Japan;18; Midfielder; Keisuke HONDA; HONDA; Keisuke; HONDA;13-jun.-86; CSKA Moscow; RUS;182
Japan;19; Forward; Takayuki MORIMOTO; MORIMOTO; Takayuki; MORIMOTO;07-may.-88; Catania; ITA;180
Japan;20; Midfielder; Junichi INAMOTO; INAMOTO; Junichi; INAMOTO;18-sep.-79; Kawasaki Frontale; JPN;181
Japan;21; Goalkeeper; Eiji KAWASHIMA; KAWASHIMA; Eiji; KAWASHIMA;20-mar.-83; Kawasaki Frontale; JPN;185
Japan;22; Defender; Yuji NAKAZAWA; NAKAZAWA; Yuji; NAKAZAWA;25-feb.-78; Yokohama F Marinos; JPN;187
Japan;23; Goalkeeper; Yoshikatsu KAWAGUCHI; KAWAGUCHI; Yoshikatsu; KAWAGUCHI;15-ago.-75; Jubilo Iwata; JPN;180
Korea DPR;1; Goalkeeper; RI Myong Guk; RI; Myong Guk; R. MYONG GUK;09-sep.-86; Pyongyang City; PRK;187
Korea DPR;2; Defender; CHA Jong Hyok; CHA; Jong Hyok; C. JONG HYOK;25-sep.-85; Amrokgang; PRK;178
Korea DPR;3; Defender; RI Jun Il; RI; Jun Il; R. JUN IL;24-ago.-87; Sobaeksu; PRK;178
Korea DPR;4; Midfielder; PAK Nam Chol; PAK; Nam Chol; P. NAM CHOL;02-jul.-85;25-abr.; PRK;172
Korea DPR;5; Defender; RI Kwang Chon; RI; Kwang Chon; R. KWANG CHON;04-sep.-85;25-abr.; PRK;183
Korea DPR;6; Midfielder; KIM Kum Il; KIM; Kum Il; K. KUM IL;10-oct.-87;25-abr.; PRK;170
Korea DPR;7; Forward; AN Chol Hyok; AN; Chol Hyok; A. CHOL HYOK;27-jun.-87; Rimyongsu; PRK;178
Korea DPR;8; Defender; JI Yun Nam; JI; Yun Nam; J. YUN NAM;20-nov.-76;25-abr.; PRK;172
Korea DPR;9; Defender; JONG Tae Se; JONG; Tae Se; J. TAE SE;02-mar.-84; Kawasaki Frontale; JPN;181
Korea DPR;10; Forward; HONG Yong Jo; HONG; Yong Jo; H. YONG JO;22-may.-82; FK Rostov; RUS;174
Korea DPR;11; Midfielder; MUN In Guk; MUN; In Guk; M. IN GUK;29-sep.-78;25-abr.; PRK;167
Korea DPR;12; Forward; CHOE Kum Chol; CHOE; Kum Chol; C. KUM CHOL;09-feb.-87;25-abr.; PRK;178
Korea DPR;13; Defender; PAK Chol Jin; PAK; Chol Jin; P. CHOL JIN;05-sep.-85; Amrokgang; PRK;184
Korea DPR;14; Defender; PAK Nam Chol; PAK; Nam Chol; P. NAM CHOL;03-oct.-88; Amrokgang; PRK;183
Korea DPR;15; Midfielder; KIM Yong Jun; KIM; Yong Jun; K. YONG JUN;19-jul.-83; Pyongyang City; PRK;182
Korea DPR;16; Defender; NAM Song Chol; NAM; Song Chol; N. SONG CHOL;07-may.-82;25-abr.; PRK;178
Korea DPR;17; Midfielder; AN Yong Hak; AN; Yong Hak; A. YONG HAK;25-oct.-78; Omiya Ardija; JPN;182
Korea DPR;18; Goalkeeper; KIM Myong Gil; KIM; Myong Gil; K. MYONG GIL;16-oct.-84; Amrokgang; PRK;181
Korea DPR;19; Midfielder; RI Chol Myong; RI; Chol Myong; R. CHOL MYONG;18-feb.-88; Pyongyang City; PRK;173
Korea DPR;20; Goalkeeper; KIM Myong Won; KIM; Myong Won; K. MYONG WON;15-jul.-83; Amrokgang; PRK;180
Korea DPR;21; Defender; RI Kwang Hyok; RI; Kwang Hyok; R. KWANG HYOK;17-ago.-87; Kyonggongop; PRK;178
Korea DPR;22; Midfielder; KIM Kyong Il; KIM; Kyong Il; K. KYONG IL;11-dic.-88; Rimyongsu; PRK;174
Korea DPR;23; Midfielder; PAK Sung Hyok; PAK; Sung Hyok; P. SUNG HYOK;30-may.-90; Sobaeksu; PRK;175
Korea Republic;1; Goalkeeper; LEE Woon Jae; LEE; Woon Jae; WOONJAE;26-abr.-73; Suwon Bluewings; KOR;182
Korea Republic;2; Defender; OH Beom Seok; OH; Beom Seok; BEOMSEOK;29-jul.-84; Ulsan Hyundai; KOR;181
Korea Republic;3; Defender; KIM Hyung Il; KIM; Hyung Il; HYUNGIL;27-abr.-84; Pohang Steelers; KOR;187
Korea Republic;4; Defender; CHO Yong Hyung; CHO; Yong Hyung; YONGHYUNG;03-nov.-83; Jeju Utd.; KOR;182
Korea Republic;5; Midfielder; KIM Nam Il; KIM; Nam Il; NAMIL;14-mar.-77; Tom Tomsk; RUS;180
Korea Republic;6; Midfielder; KIM Bo Kyung; KIM; Bo Kyung; BOKYUNG;06-oct.-89; Oita Trinita; JPN;178
Korea Republic;7; Midfielder; PARK Ji Sung; PARK; Ji Sung; JISUNG;25-feb.-81; Manchester Utd.; ENG;178
Korea Republic;8; Midfielder; KIM Jung Woo; KIM; Jung Woo; JUNGWOO;09-may.-82; Gwangju Sangmu; KOR;183
Korea Republic;9; Forward; AHN Jung Hwan; AHN; Jung Hwan; JUNGHWAN;27-ene.-76; Dalian Shide; CHN;177
Korea Republic;10; Forward; PARK Chu Young; PARK; Chu Young; CHUYOUNG;10-jul.-85; Monaco; FRA;183
Korea Republic;11; Forward; LEE Seung Yeoul; LEE; Seung Yeoul; SEUNGYEOUL;06-mar.-89; FC Seoul; KOR;183
Korea Republic;12; Defender; LEE Young Pyo; LEE; Young Pyo; YOUNGPYO;23-abr.-77; Al Hilal; KSA;177
Korea Republic;13; Midfielder; KIM Jae Sung; KIM; Jae Sung; JAESUNG;03-oct.-83; Pohang Steelers; KOR;180
Korea Republic;14; Defender; LEE Jung Soo; LEE; Jung Soo; JUNGSOO;08-ene.-80; Kashima Antlers; JPN;185
Korea Republic;15; Defender; KIM Dong Jin; KIM; Dong Jin; DONGJIN;29-ene.-82; Ulsan Hyundai; KOR;184
Korea Republic;16; Midfielder; KI Sung Yueng; KI; Sung Yueng; SUNGYUENG;24-ene.-89; Celtic; SCO;187
Korea Republic;17; Midfielder; LEE Chung Yong; LEE; Chung Yong; CHUNGYONG;02-jul.-88; Bolton Wanderers; ENG;180
Korea Republic;18; Goalkeeper; JUNG Sung Ryong; JUNG; Sung Ryong; SUNGRYONG;04-ene.-85; Seongnam Ilhwa Chunma; KOR;190
Korea Republic;19; Midfielder; YEOM Ki Hun; YEOM; Ki Hun; KIHUN;30-mar.-83; Suwon Bluewings; KOR;182
Korea Republic;20; Forward; LEE Dong Gook; LEE; Dong Gook; DONGGOOK;29-abr.-79; Jeonbuk Motors; KOR;187
Korea Republic;21; Goalkeeper; KIM Young Kwang; KIM; Young Kwang; YOUNGKWANG;28-jun.-83; Ulsan Hyundai; KOR;184
Korea Republic;22; Defender; CHA Du Ri; CHA; Du Ri; DURI;25-jul.-80; SC Freiburg; GER;181
Korea Republic;23; Defender; KANG Min Soo; KANG; Min Soo; MINSOO;14-feb.-86; Suwon Bluewings; KOR;186
Mexico;1; Goalkeeper; Oscar PEREZ; PEREZ ROJAS; Oscar; O PEREZ;01-feb.-73; Jaguares; MEX;174
Mexico;2; Defender; Francisco RODRIGUEZ; RODRIGUEZ PINEDO; Francisco Javier; F RODRIGUEZ;20-oct.-81; PSV Eindhoven; NED;191
Mexico;3; Defender; Carlos SALCIDO; SALCIDO FLORES; Carlos Arnoldo; C SALCIDO;02-abr.-80; PSV Eindhoven; NED;176
Mexico;4; Defender; Rafael MARQUEZ; MÁRQUEZ ALVAREZ; Rafael; R MARQUEZ;13-feb.-79; Barcelona; ESP;182
Mexico;5; Defender; Ricardo OSORIO; OSORIO MENDOZA; Ricardo; R OSORIO;30-mar.-80; VfB Stuttgart; GER;173
Mexico;6; Midfielder; Gerardo TORRADO; TORRADO DIEZ DE BONILLA; Gerardo; G TORRADO;30-abr.-79; Cruz Azul; MEX;174
Mexico;7; Forward; Pablo BARRERA; BARRERA ACOSTA; Pablo Edson; P BARRERA;21-jun.-87; Pumas UNAM; MEX;172
Mexico;8; Midfielder; Israel CASTRO; CASTRO MARCIAS; Israel; I CASTRO;20-dic.-80; Pumas UNAM; MEX;175
Mexico;9; Forward; Guillermo FRANCO; FRANCO FARQUARSON; Guillermo Luis; G FRANCO;03-nov.-76; West Ham Utd.; ENG;182
Mexico;10; Forward; Cuauhtemoc BLANCO; BLANCO BRAVO; Cuauhtemoc; C BLANCO;17-ene.-73; Veracruz; MEX;177
Mexico;11; Forward; Carlos VELA; VELA GARRIDO; Carlos Alberto; C VELA;01-mar.-89; Arsenal; ENG;179
